Date,Open,High,Low,Close,Volume,Adj Close
2012-04-05,1398.79,1401.60,1392.92,1398.08,3303740000,1398.08
2012-04-04,1413.09,1413.09,1394.09,1398.96,3938290000,1398.96
2012-04-03,1418.98,1419.00,1404.62,1413.38,3822090000,1413.38
2012-04-02,1408.47,1422.38,1404.46,1419.04,3572010000,1419.04
2012-03-30,1403.31,1410.89,1401.42,1408.47,3676890000,1408.47
2012-03-29,1405.39,1405.39,1391.56,1403.28,3832000000,1403.28
2012-03-28,1412.52,1413.65,1397.20,1405.54,3892800000,1405.54
2012-03-27,1416.55,1419.15,1411.95,1412.52,3513640000,1412.52
2012-03-26,1397.11,1416.58,1397.11,1416.51,3576950000,1416.51
2012-03-23,1392.78,1399.18,1386.87,1397.11,3472950000,1397.11
2012-03-22,1402.89,1402.89,1388.73,1392.78,3740590000,1392.78
2012-03-21,1405.52,1407.75,1400.64,1402.89,3573590000,1402.89
2012-03-20,1409.59,1409.59,1397.68,1405.52,3695280000,1405.52
2012-03-19,1404.17,1414.00,1402.43,1409.75,3932570000,1409.75
2012-03-16,1402.55,1405.88,1401.47,1404.17,5163950000,1404.17
2012-03-15,1394.17,1402.63,1392.78,1402.60,4271650000,1402.60
2012-03-14,1395.95,1399.42,1389.97,1394.28,4502280000,1394.28
2012-03-13,1371.92,1396.13,1371.92,1395.95,4386470000,1395.95
2012-03-12,1370.78,1373.04,1366.69,1371.09,3081870000,1371.09
2012-03-09,1365.97,1374.76,1365.97,1370.87,3639470000,1370.87
2012-03-08,1352.65,1368.72,1352.65,1365.91,3543060000,1365.91
2012-03-07,1343.39,1354.85,1343.39,1352.63,3580380000,1352.63
2012-03-06,1363.63,1363.63,1340.03,1343.36,4191060000,1343.36
2012-03-05,1369.59,1369.59,1359.13,1364.33,3429480000,1364.33
2012-03-02,1374.09,1374.53,1366.42,1369.63,3283490000,1369.63
2012-03-01,1365.90,1376.17,1365.90,1374.09,3919240000,1374.09
2012-02-29,1372.20,1378.04,1363.81,1365.68,4482370000,1365.68
2012-02-28,1367.56,1373.09,1365.97,1372.18,3579120000,1372.18
2012-02-27,1365.20,1371.94,1354.92,1367.59,3648890000,1367.59
